Classification,State,Country_Area,Posted_Citations,Project_Area,Product_Type,Fiscal_Year
Terminated,FL,United States,Voluntary: Firm initiated,"CytoDetox, Hydrolyzed Clinoptilolite Fragments, 1 oz./30 mL, OTC Non-Sterile.  Dietary supplement.",Food,2016
Terminated,CA,United States,Voluntary: Firm initiated,"Koi Palace Mini Moon Cake: Single Box - Mini Oolong Tea Paste  Unit Size 1/2 lb. and 1/4 lb. in circular box (1 piece) and rectangular boxes (4, 6 or 8 pieces).",Food,2017
Terminated,FL,United States,Voluntary: Firm initiated,Crema GuateLinda (Guatemalan Style Cream) in individually soft poly/plastic bags labeled in part: Lacteos Santa Martha Crema GuateLinda Guatemalan Style Cream Net WT 1 LB (16 oz),Food,2014
Terminated,FL,United States,Voluntary: Firm initiated,"Yellow Onion.  Product is labeled in part:  ""***FC Salsa Mango""***Refrigerate at 34 F***""      Item #   302940 FC SALSA MANGO 2/5#.        Product is fresh made - Ready To Eat.",Food,2012
Terminated,CA,United States,Voluntary: Firm initiated,"Pure Planet Organic Parasite Cleanse;  Net Wt. 174g Glass Jar;  Finished Product Item # 52700    Manufactured and Distributed by:  Pure Planet,  Rancho Dominguez, CA",Food,2020
Terminated,WA,United States,Voluntary: Firm initiated,"Coffee Toffee - 4 oz. packages. UPC 6 55974 89001 2.    The label is read in parts: ""***Ingredients: butter (milk), sugar, bittersweet chocolate 60% (cocoa liquor, emulsifier, soya lecithin, vanilla), coffee, pecans *** Contains: milk & soya ***"".",Food,2018
Terminated,NY,United States,Voluntary: Firm initiated,"XinXing Dried Plum, Net Wt. 5.3 oz.(150g)",Food,2020
Terminated,OH,United States,Voluntary: Firm initiated,"Honey Bourbon Pecans Net Wt. 20 lb. (9.088g) Mfg. By: Trophy Nut Co. Tipp City, OH 45371",Food,2017
Terminated,MD,United States,Voluntary: Firm initiated,"Gourmet Mix Fruit Delight Net Wt. 64 oz. (1814g) Best If Enjoyed By: 12/03/14, Dist. By: Wegmans Food Markets, Inc., Rochester, NY 14603 UPC 077890241516",Food,2015
Terminated,CA,United States,Voluntary: Firm initiated,Marketside 12oz Classic Salad  UPC:6-81131-32894-4  SKU: 3107,Food,2022
Terminated,GA,United States,Voluntary: Firm initiated,"TranSmart Raspberry Filled frozen unbaked cookie dough, 108/1.75 oz. units, CSM Bakery Products, 3301 Montreal Industrial Way Tucker, GA 30084..",Food,2015
